Name,Diameter,Lat,Lon,LonE
South Pole-Aitken,2500000,-56,180,180
Australe,880000,-52,95,95
Smythii,740000,-2,87,87
Mutus-Vlacq,700000,-52,21,21
Tsiolkovskiy-Stark,700000,-15,128,128
Fecunditatis,690000,-4,52,52
Nubium,690000,-21,-15,345
Lomonosov-Fleming,620000,19,105,105
Freundlich-Sharonov,600000,18.5,175,175
Grissom-White,600000,-44,-161,199
Insularum,600000,9,-18,342
Al-Khwarizmi-King,590000,1,112,112
Marginis,580000,20,84,84
Flamsteed-Billy,570000,-7,-45,315
Ingenii,560000,-43,165,165
Apollo,524230,-35.69,-151.48,208.52
Balmer-Kapteyn,500000,-15,70,70
Keeler-Heaviside,500000,-10,162,162
Werner-Airy,500000,-24,12,12
Coulomb-Sarton,440000,52,-123,237
Lorentz,378420,34.59,-97.19,262.81
Poincare,345990,-56.86,163.99,163.99
Harkhebi,337140,40.87,98.74,98.74
Amundsen-Ganswindt,335000,-81,120,120
Schiller-Zucchius,335000,-56,-45,315
Birkhoff,329810,58.45,-145.65,214.35
Planck,319460,-57.27,135.34,135.34
Pingre-Hausen,300000,-56,-82,278
Gagarin,261830,-19.66,149.35,149.35
Milne,259970,-31,112.78,112.78
Fermi,241410,-19.61,123.24,123.24
Leibnitz,236670,-38.24,179.35,179.35
Pasteur,232770,-11.58,104.91,104.91
Galois,231970,-13.94,-152.99,207.01
Deslandres,227020,-32.55,-5.57,354.43
Campbell,222480,45.57,152.91,152.91
Von Karman M,218980,-49.44,174.95,174.95
Landau,218150,42.16,-119.34,240.66
Poczobutt,212360,57.27,-99.23,260.77
Schickard,212180,-44.38,-55.11,304.89
Janssen,200650,-44.96,40.82,40.82
Von Karman,186350,-44.45,176.25,176.25
Mandel'shtam,181890,5.7,162.39,162.39
Einstein,181470,16.6,-88.65,271.35
Rozhdestvenskiy,181150,84.99,-157.89,202.11
Fabry,179440,43.07,100.68,100.68
Mach,174970,18.13,-149.24,210.76
Grimaldi,173490,-5.38,-68.36,291.64
Joliot,172790,25.79,93.39,93.39
Vertregt,172760,-19.3,171.12,171.12
W. Bond,170530,65.41,3.52,3.52
Heaviside,164460,-10.44,166.77,166.77
Struve,164340,23.41,-76.65,283.35
Richardson,162560,30.93,99.89,99.89
Drygalski,162490,-79.57,-87.18,272.82
Lagrange,162210,-32.6,-71.45,288.55
Lippmann,160070,-55.43,-114.32,245.68
Tsander,159950,5.39,-149.69,210.31
Ashbrook,157680,-81.1,-110.58,249.42
Hedin,157380,2.87,-76.57,283.43
Riccioli,155660,-2.9,-74.42,285.58
Maginus,155580,-50.03,-5.98,354.02
J. Herschel,154440,62.31,-41.86,318.14
Ptolemaeus,153670,-9.16,-1.84,358.16
Lyot,150600,-50.47,84.8,84.8
Babbage,146560,59.56,-57.38,302.62
Jules Verne,145540,-34.85,147.28,147.28
Blackett,145310,-37.55,-115.84,244.16
Hirayama,145210,-6.01,93.63,93.63
Hipparchus,143950,-5.36,4.91,4.91
Vendelinus,141210,-16.46,61.55,61.55
Fowler,139520,42.59,-145.27,214.73
Curie,138870,-23.05,92.28,92.28
Evans Q,138410,-11.21,-136.3,223.7
Langemak N,137930,-13.19,119.12,119.12
Abel,137350,-34.63,85.78,85.78
Minnaert,137310,-67.54,178.57,178.57
Brianchon,137260,74.75,-88.36,271.64
Balmer,136300,-20.27,70.22,70.22
De La Rue,135220,59.02,52.84,52.84
Repsold C,135090,48.73,-73.78,286.22
Furnerius,135030,-36,60.54,60.54
Walther,134230,-33.25,0.62,0.62
Mee,134110,-43.63,-35.19,324.81
Galois Q,133600,-14.85,-154.46,205.54
Lamarck D,131280,-24.9,-74.35,285.65
Stofler,129870,-41.24,5.93,5.93
Avogadro,129840,63.21,165.36,165.36
Stebbins,129740,64.36,-142.64,217.36
Boussingault,127610,-70.21,53.73,53.73
Paschen,127360,-14.06,-140.53,219.47
Szilard,127220,33.71,105.78,105.78
Debye,127030,49.43,-176.03,183.97
Regiomontanus,126640,-28.28,-1.09,358.91
Lagrange R,126590,-31.33,-76.67,283.33
Zwicky,126060,-16.17,167.64,167.64
Le Gentil,125380,-74.27,-76.02,283.98
Heaviside K,124900,-12.91,168.5,168.5
Meton,124700,73.57,19.63,19.63
Weyl,122820,15.97,-120.53,239.47
Messala,122400,39.31,60.06,60.06
Darwin,122180,-19.93,-69.21,290.79
Lebedev,121800,-46.8,107.89,107.89
